steps,values
1.505280000000000000e+06,1.349000000000000000e+03
1.507328000000000000e+06,1.331000000000000000e+03
1.509376000000000000e+06,1.273000000000000000e+03
1.511424000000000000e+06,1.251000000000000000e+03
1.513472000000000000e+06,1.241000000000000000e+03
1.515520000000000000e+06,1.246000000000000000e+03
1.517568000000000000e+06,1.242000000000000000e+03
1.519616000000000000e+06,1.242000000000000000e+03
1.521664000000000000e+06,1.234000000000000000e+03
1.523712000000000000e+06,1.232000000000000000e+03
1.525760000000000000e+06,1.225000000000000000e+03
1.527808000000000000e+06,1.228000000000000000e+03
1.529856000000000000e+06,1.235000000000000000e+03
1.531904000000000000e+06,1.228000000000000000e+03
1.533952000000000000e+06,1.227000000000000000e+03
1.536000000000000000e+06,1.231000000000000000e+03
1.538048000000000000e+06,1.228000000000000000e+03
1.540096000000000000e+06,1.230000000000000000e+03
1.542144000000000000e+06,1.238000000000000000e+03
1.544192000000000000e+06,1.236000000000000000e+03
1.546240000000000000e+06,1.236000000000000000e+03
1.548288000000000000e+06,1.239000000000000000e+03
1.550336000000000000e+06,1.243000000000000000e+03
1.552384000000000000e+06,1.242000000000000000e+03
1.554432000000000000e+06,1.244000000000000000e+03
1.556480000000000000e+06,1.240000000000000000e+03
1.558528000000000000e+06,1.221000000000000000e+03
1.560576000000000000e+06,1.222000000000000000e+03
1.562624000000000000e+06,1.224000000000000000e+03
1.564672000000000000e+06,1.225000000000000000e+03
1.566720000000000000e+06,1.225000000000000000e+03
1.568768000000000000e+06,1.229000000000000000e+03
1.570816000000000000e+06,1.229000000000000000e+03
1.572864000000000000e+06,1.229000000000000000e+03
1.574912000000000000e+06,1.231000000000000000e+03
1.576960000000000000e+06,1.232000000000000000e+03
1.579008000000000000e+06,1.232000000000000000e+03
1.581056000000000000e+06,1.233000000000000000e+03
1.583104000000000000e+06,1.233000000000000000e+03
1.585152000000000000e+06,1.231000000000000000e+03
1.587200000000000000e+06,1.233000000000000000e+03
1.589248000000000000e+06,1.234000000000000000e+03
1.591296000000000000e+06,1.234000000000000000e+03
1.593344000000000000e+06,1.234000000000000000e+03
1.595392000000000000e+06,1.235000000000000000e+03
1.597440000000000000e+06,1.235000000000000000e+03
1.599488000000000000e+06,1.237000000000000000e+03
1.601536000000000000e+06,1.238000000000000000e+03
1.603584000000000000e+06,1.240000000000000000e+03
1.605632000000000000e+06,1.236000000000000000e+03
1.607680000000000000e+06,1.237000000000000000e+03
1.609728000000000000e+06,1.239000000000000000e+03
1.611776000000000000e+06,1.238000000000000000e+03
1.613824000000000000e+06,1.240000000000000000e+03
1.615872000000000000e+06,1.242000000000000000e+03
1.617920000000000000e+06,1.243000000000000000e+03
1.619968000000000000e+06,1.242000000000000000e+03
1.622016000000000000e+06,1.238000000000000000e+03
1.624064000000000000e+06,1.239000000000000000e+03
1.626112000000000000e+06,1.239000000000000000e+03
1.628160000000000000e+06,1.239000000000000000e+03
1.630208000000000000e+06,1.240000000000000000e+03
1.632256000000000000e+06,1.239000000000000000e+03
1.634304000000000000e+06,1.239000000000000000e+03
1.636352000000000000e+06,1.240000000000000000e+03
1.638400000000000000e+06,1.239000000000000000e+03
1.640448000000000000e+06,1.237000000000000000e+03
1.642496000000000000e+06,1.236000000000000000e+03
1.644544000000000000e+06,1.237000000000000000e+03
1.646592000000000000e+06,1.237000000000000000e+03
1.648640000000000000e+06,1.236000000000000000e+03
1.650688000000000000e+06,1.238000000000000000e+03
1.652736000000000000e+06,1.239000000000000000e+03
1.654784000000000000e+06,1.240000000000000000e+03
1.656832000000000000e+06,1.239000000000000000e+03
1.658880000000000000e+06,1.238000000000000000e+03
1.660928000000000000e+06,1.239000000000000000e+03
1.662976000000000000e+06,1.239000000000000000e+03
1.665024000000000000e+06,1.240000000000000000e+03
1.667072000000000000e+06,1.241000000000000000e+03
1.669120000000000000e+06,1.242000000000000000e+03
1.671168000000000000e+06,1.243000000000000000e+03
1.673216000000000000e+06,1.242000000000000000e+03
1.675264000000000000e+06,1.242000000000000000e+03
1.677312000000000000e+06,1.242000000000000000e+03
1.679360000000000000e+06,1.243000000000000000e+03
1.681408000000000000e+06,1.243000000000000000e+03
1.683456000000000000e+06,1.244000000000000000e+03
1.685504000000000000e+06,1.244000000000000000e+03
1.687552000000000000e+06,1.244000000000000000e+03
1.689600000000000000e+06,1.245000000000000000e+03
1.691648000000000000e+06,1.245000000000000000e+03
1.693696000000000000e+06,1.246000000000000000e+03
1.695744000000000000e+06,1.246000000000000000e+03
1.697792000000000000e+06,1.246000000000000000e+03
1.699840000000000000e+06,1.246000000000000000e+03
1.701888000000000000e+06,1.245000000000000000e+03
1.703936000000000000e+06,1.245000000000000000e+03
1.705984000000000000e+06,1.246000000000000000e+03
1.708032000000000000e+06,1.246000000000000000e+03
1.710080000000000000e+06,1.245000000000000000e+03
1.712128000000000000e+06,1.245000000000000000e+03
1.714176000000000000e+06,1.245000000000000000e+03
1.716224000000000000e+06,1.245000000000000000e+03
1.718272000000000000e+06,1.245000000000000000e+03
1.720320000000000000e+06,1.245000000000000000e+03
1.722368000000000000e+06,1.245000000000000000e+03
1.724416000000000000e+06,1.245000000000000000e+03
1.726464000000000000e+06,1.245000000000000000e+03
1.728512000000000000e+06,1.246000000000000000e+03
1.730560000000000000e+06,1.246000000000000000e+03
1.732608000000000000e+06,1.246000000000000000e+03
1.734656000000000000e+06,1.246000000000000000e+03
1.736704000000000000e+06,1.246000000000000000e+03
1.738752000000000000e+06,1.246000000000000000e+03
