steps,values
1.873920000000000000e+06,2.779528808593750000e+03
1.875968000000000000e+06,2.817834472656250000e+03
1.878016000000000000e+06,2.815581542968750000e+03
1.880064000000000000e+06,2.822311035156250000e+03
1.882112000000000000e+06,2.798453613281250000e+03
1.884160000000000000e+06,2.802372314453125000e+03
1.886208000000000000e+06,2.776591308593750000e+03
1.888256000000000000e+06,2.780315185546875000e+03
1.890304000000000000e+06,2.827251220703125000e+03
1.892352000000000000e+06,2.792842041015625000e+03
1.894400000000000000e+06,2.799678710937500000e+03
1.896448000000000000e+06,2.814848632812500000e+03
1.898496000000000000e+06,2.825881103515625000e+03
1.900544000000000000e+06,2.847367431640625000e+03
1.902592000000000000e+06,2.847270263671875000e+03
1.904640000000000000e+06,2.743213867187500000e+03
1.906688000000000000e+06,2.759231201171875000e+03
1.908736000000000000e+06,2.816969238281250000e+03
1.910784000000000000e+06,2.820486083984375000e+03
1.912832000000000000e+06,2.847132568359375000e+03
1.914880000000000000e+06,2.846440429687500000e+03
1.916928000000000000e+06,2.802135009765625000e+03
1.918976000000000000e+06,2.834118652343750000e+03
1.921024000000000000e+06,2.874163818359375000e+03
1.923072000000000000e+06,2.890029785156250000e+03
1.925120000000000000e+06,2.893958007812500000e+03
1.927168000000000000e+06,2.938478271484375000e+03
1.929216000000000000e+06,2.938401855468750000e+03
1.931264000000000000e+06,2.948804199218750000e+03
1.933312000000000000e+06,3.021770507812500000e+03
1.935360000000000000e+06,2.985458007812500000e+03
1.937408000000000000e+06,3.016937255859375000e+03
1.939456000000000000e+06,3.028302490234375000e+03
1.941504000000000000e+06,3.042763671875000000e+03
1.943552000000000000e+06,3.053476806640625000e+03
1.945600000000000000e+06,3.047624511718750000e+03
1.947648000000000000e+06,3.059963623046875000e+03
1.949696000000000000e+06,3.039473388671875000e+03
1.951744000000000000e+06,3.072169677734375000e+03
1.953792000000000000e+06,3.050223388671875000e+03
1.955840000000000000e+06,3.058545898437500000e+03
1.957888000000000000e+06,3.061576904296875000e+03
1.959936000000000000e+06,3.050544189453125000e+03
1.961984000000000000e+06,3.077655029296875000e+03
1.964032000000000000e+06,3.090004882812500000e+03
1.966080000000000000e+06,3.091660156250000000e+03
1.968128000000000000e+06,3.074311279296875000e+03
1.970176000000000000e+06,3.074168945312500000e+03
1.972224000000000000e+06,3.117025634765625000e+03
1.974272000000000000e+06,3.121054687500000000e+03
1.976320000000000000e+06,3.133078613281250000e+03
1.978368000000000000e+06,3.146484130859375000e+03
1.980416000000000000e+06,3.108355957031250000e+03
1.982464000000000000e+06,3.111319824218750000e+03
1.984512000000000000e+06,3.129001464843750000e+03
1.986560000000000000e+06,3.143387695312500000e+03
1.988608000000000000e+06,3.143394531250000000e+03
1.990656000000000000e+06,3.129175537109375000e+03
1.992704000000000000e+06,3.125425048828125000e+03
1.994752000000000000e+06,3.088026855468750000e+03
1.996800000000000000e+06,3.088982910156250000e+03
1.998848000000000000e+06,3.083220947265625000e+03
2.000896000000000000e+06,3.079010009765625000e+03
2.002944000000000000e+06,3.115508056640625000e+03
2.004992000000000000e+06,3.127897705078125000e+03
2.007040000000000000e+06,3.116991699218750000e+03
2.009088000000000000e+06,3.131209716796875000e+03
2.011136000000000000e+06,3.134601074218750000e+03
2.013184000000000000e+06,3.090319824218750000e+03
2.015232000000000000e+06,3.112573242187500000e+03
2.017280000000000000e+06,3.099371582031250000e+03
2.019328000000000000e+06,3.071316894531250000e+03
2.021376000000000000e+06,3.052793457031250000e+03
2.023424000000000000e+06,3.027761230468750000e+03
2.025472000000000000e+06,3.031070068359375000e+03
2.027520000000000000e+06,3.056425048828125000e+03
2.029568000000000000e+06,3.034072265625000000e+03
2.031616000000000000e+06,3.070242675781250000e+03
2.033664000000000000e+06,3.104193359375000000e+03
2.035712000000000000e+06,3.054974365234375000e+03
2.037760000000000000e+06,3.057409912109375000e+03
2.039808000000000000e+06,3.091354980468750000e+03
2.041856000000000000e+06,3.092317871093750000e+03
2.043904000000000000e+06,3.127055664062500000e+03
2.045952000000000000e+06,3.129868408203125000e+03
2.048000000000000000e+06,3.116101562500000000e+03
2.050048000000000000e+06,3.094402832031250000e+03
2.052096000000000000e+06,3.128129882812500000e+03
2.054144000000000000e+06,3.112240478515625000e+03
2.056192000000000000e+06,3.120049804687500000e+03
2.058240000000000000e+06,3.136813720703125000e+03
2.060288000000000000e+06,3.135282470703125000e+03
2.062336000000000000e+06,3.122234375000000000e+03
2.064384000000000000e+06,3.137055664062500000e+03
2.066432000000000000e+06,3.119377197265625000e+03
2.068480000000000000e+06,3.043103515625000000e+03
2.070528000000000000e+06,3.003136962890625000e+03
2.072576000000000000e+06,3.014083984375000000e+03
2.074624000000000000e+06,3.039138427734375000e+03
2.076672000000000000e+06,3.065955078125000000e+03
2.078720000000000000e+06,3.025758300781250000e+03
2.080768000000000000e+06,2.986972900390625000e+03
2.082816000000000000e+06,2.991365722656250000e+03
2.084864000000000000e+06,2.965263671875000000e+03
2.086912000000000000e+06,2.966302490234375000e+03
2.088960000000000000e+06,2.927171142578125000e+03
2.091008000000000000e+06,2.950505126953125000e+03
2.093056000000000000e+06,2.973755615234375000e+03
2.095104000000000000e+06,2.963775634765625000e+03
2.097152000000000000e+06,2.934976562500000000e+03
2.099200000000000000e+06,2.908276123046875000e+03
2.101248000000000000e+06,2.903945800781250000e+03
2.103296000000000000e+06,2.960254150390625000e+03
2.105344000000000000e+06,2.970893554687500000e+03
2.107392000000000000e+06,2.989224609375000000e+03
2.109440000000000000e+06,3.010134765625000000e+03
2.111488000000000000e+06,3.012843261718750000e+03
2.113536000000000000e+06,2.997051757812500000e+03
2.115584000000000000e+06,3.025749755859375000e+03
2.117632000000000000e+06,3.036410400390625000e+03
2.119680000000000000e+06,3.035165771484375000e+03
2.121728000000000000e+06,3.039095947265625000e+03
2.123776000000000000e+06,3.049303222656250000e+03
2.125824000000000000e+06,3.036356933593750000e+03
2.127872000000000000e+06,3.026004638671875000e+03
2.129920000000000000e+06,3.091513427734375000e+03
2.131968000000000000e+06,3.037358642578125000e+03
2.134016000000000000e+06,3.041734130859375000e+03
2.136064000000000000e+06,3.046428222656250000e+03
2.138112000000000000e+06,2.965339355468750000e+03
2.140160000000000000e+06,2.991135253906250000e+03
2.142208000000000000e+06,3.013050781250000000e+03
2.144256000000000000e+06,3.012305908203125000e+03
2.146304000000000000e+06,3.036855468750000000e+03
2.148352000000000000e+06,3.041773925781250000e+03
2.150400000000000000e+06,3.070840576171875000e+03
2.152448000000000000e+06,3.067435791015625000e+03
2.154496000000000000e+06,3.053939697265625000e+03
2.156544000000000000e+06,3.041302246093750000e+03
2.158592000000000000e+06,3.038761474609375000e+03
2.160640000000000000e+06,3.021487060546875000e+03
2.162688000000000000e+06,3.057350830078125000e+03
2.164736000000000000e+06,3.097169189453125000e+03
2.166784000000000000e+06,3.061837890625000000e+03
2.168832000000000000e+06,3.028531982421875000e+03
2.170880000000000000e+06,3.068491699218750000e+03
2.172928000000000000e+06,3.030228515625000000e+03
2.174976000000000000e+06,3.068760742187500000e+03
2.177024000000000000e+06,3.067478271484375000e+03
2.179072000000000000e+06,3.080358642578125000e+03
2.181120000000000000e+06,3.098723876953125000e+03
2.183168000000000000e+06,3.111019042968750000e+03
2.185216000000000000e+06,3.121284423828125000e+03
2.187264000000000000e+06,3.127932617187500000e+03
2.189312000000000000e+06,3.130867919921875000e+03
2.191360000000000000e+06,3.127802734375000000e+03
2.193408000000000000e+06,3.110152587890625000e+03
2.195456000000000000e+06,3.143752929687500000e+03
2.197504000000000000e+06,3.127917480468750000e+03
2.199552000000000000e+06,3.168306396484375000e+03
2.201600000000000000e+06,3.146573974609375000e+03
2.203648000000000000e+06,3.147903564453125000e+03
2.205696000000000000e+06,3.144921630859375000e+03
2.207744000000000000e+06,3.149786865234375000e+03
2.209792000000000000e+06,3.133877441406250000e+03
2.211840000000000000e+06,3.168913818359375000e+03
2.213888000000000000e+06,3.125520019531250000e+03
2.215936000000000000e+06,3.127322509765625000e+03
2.217984000000000000e+06,3.138837646484375000e+03
2.220032000000000000e+06,3.123582519531250000e+03
2.222080000000000000e+06,3.094856689453125000e+03
2.224128000000000000e+06,3.131872314453125000e+03
2.226176000000000000e+06,3.131355468750000000e+03
2.228224000000000000e+06,3.125235351562500000e+03
2.230272000000000000e+06,3.118985351562500000e+03
2.232320000000000000e+06,3.113983398437500000e+03
2.234368000000000000e+06,3.112940917968750000e+03
2.236416000000000000e+06,3.152488525390625000e+03
2.238464000000000000e+06,3.102798828125000000e+03
2.240512000000000000e+06,3.063421142578125000e+03
2.242560000000000000e+06,3.044580566406250000e+03
2.244608000000000000e+06,3.018627685546875000e+03
2.246656000000000000e+06,3.010777099609375000e+03
2.248704000000000000e+06,3.017092773437500000e+03
2.250752000000000000e+06,3.026218017578125000e+03
2.252800000000000000e+06,3.027135986328125000e+03
2.254848000000000000e+06,3.054941650390625000e+03
2.256896000000000000e+06,3.055035644531250000e+03
2.258944000000000000e+06,3.000252197265625000e+03
2.260992000000000000e+06,2.995162841796875000e+03
2.263040000000000000e+06,3.013342529296875000e+03
2.265088000000000000e+06,2.959943603515625000e+03
2.267136000000000000e+06,2.942434082031250000e+03
2.269184000000000000e+06,2.957370849609375000e+03
2.271232000000000000e+06,2.966345458984375000e+03
2.273280000000000000e+06,2.948481201171875000e+03
2.275328000000000000e+06,2.935598632812500000e+03
2.277376000000000000e+06,2.941553466796875000e+03
2.279424000000000000e+06,2.947975097656250000e+03
2.281472000000000000e+06,2.886714599609375000e+03
2.283520000000000000e+06,2.926013427734375000e+03
2.285568000000000000e+06,2.887600341796875000e+03
2.287616000000000000e+06,2.917294189453125000e+03
2.289664000000000000e+06,2.886107910156250000e+03
2.291712000000000000e+06,2.872268554687500000e+03
2.293760000000000000e+06,2.822953613281250000e+03
2.295808000000000000e+06,2.802531738281250000e+03
2.297856000000000000e+06,2.736456542968750000e+03
2.299904000000000000e+06,2.803668701171875000e+03
2.301952000000000000e+06,2.783328125000000000e+03
2.304000000000000000e+06,2.784146728515625000e+03
2.306048000000000000e+06,2.696295410156250000e+03
2.308096000000000000e+06,2.735561523437500000e+03
2.310144000000000000e+06,2.710160644531250000e+03
2.312192000000000000e+06,2.710895507812500000e+03
2.314240000000000000e+06,2.700864257812500000e+03
2.316288000000000000e+06,2.722681640625000000e+03
2.318336000000000000e+06,2.692326416015625000e+03
2.320384000000000000e+06,2.697992187500000000e+03
2.322432000000000000e+06,2.753361328125000000e+03
2.324480000000000000e+06,2.767560302734375000e+03
2.326528000000000000e+06,2.759422607421875000e+03
2.328576000000000000e+06,2.783857666015625000e+03
2.330624000000000000e+06,2.818322753906250000e+03
2.332672000000000000e+06,2.817921875000000000e+03
2.334720000000000000e+06,2.780483642578125000e+03
2.336768000000000000e+06,2.815702636718750000e+03
2.338816000000000000e+06,2.812971923828125000e+03
2.340864000000000000e+06,2.810362548828125000e+03
2.342912000000000000e+06,2.785836425781250000e+03
2.344960000000000000e+06,2.826106933593750000e+03
2.347008000000000000e+06,2.867371826171875000e+03
2.349056000000000000e+06,2.886146972656250000e+03
2.351104000000000000e+06,2.930257080078125000e+03
2.353152000000000000e+06,2.909931396484375000e+03
2.355200000000000000e+06,2.922145507812500000e+03
2.357248000000000000e+06,2.946323730468750000e+03
2.359296000000000000e+06,3.004268066406250000e+03
2.361344000000000000e+06,2.985213867187500000e+03
2.363392000000000000e+06,2.960047851562500000e+03
2.365440000000000000e+06,2.964234619140625000e+03
2.367488000000000000e+06,3.005917968750000000e+03
2.369536000000000000e+06,2.976514404296875000e+03
2.371584000000000000e+06,2.961507324218750000e+03
2.373632000000000000e+06,2.989556152343750000e+03
2.375680000000000000e+06,2.953979736328125000e+03
2.377728000000000000e+06,2.970846923828125000e+03
2.379776000000000000e+06,2.963367431640625000e+03
2.381824000000000000e+06,2.934970458984375000e+03
2.383872000000000000e+06,2.972538574218750000e+03
2.385920000000000000e+06,2.995796630859375000e+03
2.387968000000000000e+06,3.044394287109375000e+03
2.390016000000000000e+06,3.031164794921875000e+03
2.392064000000000000e+06,3.069832031250000000e+03
2.394112000000000000e+06,3.080448730468750000e+03
2.396160000000000000e+06,3.080294433593750000e+03
2.398208000000000000e+06,3.059821777343750000e+03
2.400256000000000000e+06,3.096162353515625000e+03
2.402304000000000000e+06,3.100648437500000000e+03
2.404352000000000000e+06,3.088366210937500000e+03
2.406400000000000000e+06,3.069615966796875000e+03
2.408448000000000000e+06,3.079680419921875000e+03
2.410496000000000000e+06,3.100366210937500000e+03
2.412544000000000000e+06,3.104659179687500000e+03
2.414592000000000000e+06,3.123277832031250000e+03
2.416640000000000000e+06,3.094321777343750000e+03
2.418688000000000000e+06,3.110510742187500000e+03
2.420736000000000000e+06,3.077503417968750000e+03
2.422784000000000000e+06,3.098603271484375000e+03
2.424832000000000000e+06,3.108211425781250000e+03
2.426880000000000000e+06,3.095389892578125000e+03
2.428928000000000000e+06,3.060557373046875000e+03
2.430976000000000000e+06,3.061781738281250000e+03
2.433024000000000000e+06,2.986956787109375000e+03
2.435072000000000000e+06,2.976920898437500000e+03
2.437120000000000000e+06,3.006257568359375000e+03
2.439168000000000000e+06,3.004077148437500000e+03
2.441216000000000000e+06,2.966034667968750000e+03
2.443264000000000000e+06,3.000147460937500000e+03
2.445312000000000000e+06,2.945753417968750000e+03
2.447360000000000000e+06,2.958712646484375000e+03
2.449408000000000000e+06,2.960156494140625000e+03
2.451456000000000000e+06,2.901817871093750000e+03
2.453504000000000000e+06,2.961094726562500000e+03
2.455552000000000000e+06,2.959374511718750000e+03
2.457600000000000000e+06,2.951786865234375000e+03
2.459648000000000000e+06,2.956347412109375000e+03
2.461696000000000000e+06,2.993898437500000000e+03
2.463744000000000000e+06,3.029626220703125000e+03
2.465792000000000000e+06,3.069748291015625000e+03
2.467840000000000000e+06,3.052383789062500000e+03
2.469888000000000000e+06,3.057619873046875000e+03
2.471936000000000000e+06,3.095847656250000000e+03
2.473984000000000000e+06,3.126369873046875000e+03
2.476032000000000000e+06,3.123002441406250000e+03
2.478080000000000000e+06,3.130026123046875000e+03
2.480128000000000000e+06,3.182696533203125000e+03
2.482176000000000000e+06,3.146069091796875000e+03
2.484224000000000000e+06,3.149354736328125000e+03
2.486272000000000000e+06,3.148031494140625000e+03
2.488320000000000000e+06,3.107985351562500000e+03
2.490368000000000000e+06,3.107236572265625000e+03
2.492416000000000000e+06,3.098581054687500000e+03
2.494464000000000000e+06,3.022077392578125000e+03
2.496512000000000000e+06,3.020292480468750000e+03
2.498560000000000000e+06,3.053398193359375000e+03
2.500608000000000000e+06,3.071230712890625000e+03
2.502656000000000000e+06,3.096214355468750000e+03
2.504704000000000000e+06,3.084168945312500000e+03
