steps,values
1.505280000000000000e+06,1.347000000000000000e+03
1.507328000000000000e+06,1.354000000000000000e+03
1.509376000000000000e+06,1.329000000000000000e+03
1.511424000000000000e+06,1.324000000000000000e+03
1.513472000000000000e+06,1.318000000000000000e+03
1.515520000000000000e+06,1.305000000000000000e+03
1.517568000000000000e+06,1.311000000000000000e+03
1.519616000000000000e+06,1.312000000000000000e+03
1.521664000000000000e+06,1.321000000000000000e+03
1.523712000000000000e+06,1.328000000000000000e+03
1.525760000000000000e+06,1.328000000000000000e+03
1.527808000000000000e+06,1.328000000000000000e+03
1.529856000000000000e+06,1.331000000000000000e+03
1.531904000000000000e+06,1.338000000000000000e+03
1.533952000000000000e+06,1.330000000000000000e+03
1.536000000000000000e+06,1.335000000000000000e+03
1.538048000000000000e+06,1.333000000000000000e+03
1.540096000000000000e+06,1.332000000000000000e+03
1.542144000000000000e+06,1.329000000000000000e+03
1.544192000000000000e+06,1.330000000000000000e+03
1.546240000000000000e+06,1.329000000000000000e+03
1.548288000000000000e+06,1.327000000000000000e+03
1.550336000000000000e+06,1.327000000000000000e+03
1.552384000000000000e+06,1.329000000000000000e+03
1.554432000000000000e+06,1.327000000000000000e+03
1.556480000000000000e+06,1.326000000000000000e+03
1.558528000000000000e+06,1.330000000000000000e+03
1.560576000000000000e+06,1.330000000000000000e+03
1.562624000000000000e+06,1.332000000000000000e+03
1.564672000000000000e+06,1.334000000000000000e+03
1.566720000000000000e+06,1.337000000000000000e+03
1.568768000000000000e+06,1.336000000000000000e+03
1.570816000000000000e+06,1.333000000000000000e+03
1.572864000000000000e+06,1.333000000000000000e+03
1.574912000000000000e+06,1.333000000000000000e+03
1.576960000000000000e+06,1.334000000000000000e+03
1.579008000000000000e+06,1.331000000000000000e+03
1.581056000000000000e+06,1.332000000000000000e+03
1.583104000000000000e+06,1.333000000000000000e+03
1.585152000000000000e+06,1.334000000000000000e+03
1.587200000000000000e+06,1.333000000000000000e+03
1.589248000000000000e+06,1.334000000000000000e+03
1.591296000000000000e+06,1.334000000000000000e+03
1.593344000000000000e+06,1.336000000000000000e+03
1.595392000000000000e+06,1.335000000000000000e+03
1.597440000000000000e+06,1.334000000000000000e+03
1.599488000000000000e+06,1.334000000000000000e+03
1.601536000000000000e+06,1.335000000000000000e+03
1.603584000000000000e+06,1.333000000000000000e+03
1.605632000000000000e+06,1.333000000000000000e+03
1.607680000000000000e+06,1.333000000000000000e+03
1.609728000000000000e+06,1.334000000000000000e+03
1.611776000000000000e+06,1.333000000000000000e+03
1.613824000000000000e+06,1.331000000000000000e+03
1.615872000000000000e+06,1.332000000000000000e+03
1.617920000000000000e+06,1.332000000000000000e+03
1.619968000000000000e+06,1.332000000000000000e+03
1.622016000000000000e+06,1.332000000000000000e+03
1.624064000000000000e+06,1.333000000000000000e+03
1.626112000000000000e+06,1.333000000000000000e+03
1.628160000000000000e+06,1.332000000000000000e+03
1.630208000000000000e+06,1.331000000000000000e+03
1.632256000000000000e+06,1.331000000000000000e+03
1.634304000000000000e+06,1.330000000000000000e+03
1.636352000000000000e+06,1.330000000000000000e+03
1.638400000000000000e+06,1.331000000000000000e+03
1.640448000000000000e+06,1.331000000000000000e+03
1.642496000000000000e+06,1.331000000000000000e+03
1.644544000000000000e+06,1.331000000000000000e+03
1.646592000000000000e+06,1.332000000000000000e+03
1.648640000000000000e+06,1.333000000000000000e+03
1.650688000000000000e+06,1.333000000000000000e+03
1.652736000000000000e+06,1.333000000000000000e+03
1.654784000000000000e+06,1.335000000000000000e+03
1.656832000000000000e+06,1.335000000000000000e+03
1.658880000000000000e+06,1.335000000000000000e+03
1.660928000000000000e+06,1.334000000000000000e+03
1.662976000000000000e+06,1.335000000000000000e+03
1.665024000000000000e+06,1.335000000000000000e+03
1.667072000000000000e+06,1.335000000000000000e+03
1.669120000000000000e+06,1.335000000000000000e+03
1.671168000000000000e+06,1.336000000000000000e+03
1.673216000000000000e+06,1.337000000000000000e+03
1.675264000000000000e+06,1.336000000000000000e+03
