steps,values
1.630208000000000000e+06,2.764574462890625000e+03
1.632256000000000000e+06,2.739718750000000000e+03
1.634304000000000000e+06,2.691703125000000000e+03
1.636352000000000000e+06,2.669729492187500000e+03
1.638400000000000000e+06,2.647909179687500000e+03
1.640448000000000000e+06,2.644773925781250000e+03
1.642496000000000000e+06,2.659382812500000000e+03
1.644544000000000000e+06,2.659794677734375000e+03
1.646592000000000000e+06,2.662465087890625000e+03
1.648640000000000000e+06,2.663023437500000000e+03
1.650688000000000000e+06,2.658967285156250000e+03
1.652736000000000000e+06,2.666534912109375000e+03
1.654784000000000000e+06,2.676937011718750000e+03
1.656832000000000000e+06,2.680599609375000000e+03
1.658880000000000000e+06,2.679119384765625000e+03
1.660928000000000000e+06,2.684258544921875000e+03
1.662976000000000000e+06,2.681274169921875000e+03
1.665024000000000000e+06,2.699631591796875000e+03
1.667072000000000000e+06,2.707887939453125000e+03
1.669120000000000000e+06,2.709830566406250000e+03
1.671168000000000000e+06,2.715873535156250000e+03
1.673216000000000000e+06,2.715373046875000000e+03
1.675264000000000000e+06,2.714306640625000000e+03
1.677312000000000000e+06,2.723643066406250000e+03
1.679360000000000000e+06,2.723068359375000000e+03
1.681408000000000000e+06,2.725654296875000000e+03
1.683456000000000000e+06,2.726681640625000000e+03
1.685504000000000000e+06,2.727782226562500000e+03
1.687552000000000000e+06,2.735694091796875000e+03
1.689600000000000000e+06,2.731905273437500000e+03
1.691648000000000000e+06,2.725513916015625000e+03
1.693696000000000000e+06,2.732488281250000000e+03
1.695744000000000000e+06,2.750223876953125000e+03
1.697792000000000000e+06,2.764282958984375000e+03
1.699840000000000000e+06,2.778902343750000000e+03
1.701888000000000000e+06,2.781387695312500000e+03
1.703936000000000000e+06,2.783754882812500000e+03
1.705984000000000000e+06,2.793095458984375000e+03
1.708032000000000000e+06,2.784709472656250000e+03
1.710080000000000000e+06,2.791942871093750000e+03
1.712128000000000000e+06,2.800810791015625000e+03
1.714176000000000000e+06,2.811125244140625000e+03
1.716224000000000000e+06,2.821680175781250000e+03
1.718272000000000000e+06,2.824381835937500000e+03
1.720320000000000000e+06,2.834226806640625000e+03
1.722368000000000000e+06,2.834360839843750000e+03
1.724416000000000000e+06,2.825827148437500000e+03
1.726464000000000000e+06,2.842300048828125000e+03
1.728512000000000000e+06,2.842104003906250000e+03
1.730560000000000000e+06,2.857065917968750000e+03
1.732608000000000000e+06,2.854958007812500000e+03
1.734656000000000000e+06,2.865586914062500000e+03
1.736704000000000000e+06,2.869305664062500000e+03
1.738752000000000000e+06,2.870681396484375000e+03
1.740800000000000000e+06,2.883420166015625000e+03
1.742848000000000000e+06,2.889380126953125000e+03
1.744896000000000000e+06,2.908796875000000000e+03
1.746944000000000000e+06,2.908861816406250000e+03
1.748992000000000000e+06,2.908317138671875000e+03
1.751040000000000000e+06,2.914843505859375000e+03
1.753088000000000000e+06,2.916582031250000000e+03
1.755136000000000000e+06,2.920551513671875000e+03
1.757184000000000000e+06,2.929615966796875000e+03
1.759232000000000000e+06,2.923998291015625000e+03
1.761280000000000000e+06,2.921015380859375000e+03
1.763328000000000000e+06,2.924406494140625000e+03
1.765376000000000000e+06,2.927910644531250000e+03
1.767424000000000000e+06,2.936819335937500000e+03
1.769472000000000000e+06,2.935593750000000000e+03
1.771520000000000000e+06,2.931813232421875000e+03
1.773568000000000000e+06,2.935779785156250000e+03
1.775616000000000000e+06,2.942106689453125000e+03
1.777664000000000000e+06,2.942124511718750000e+03
1.779712000000000000e+06,2.948125000000000000e+03
1.781760000000000000e+06,2.954119140625000000e+03
1.783808000000000000e+06,2.960001464843750000e+03
1.785856000000000000e+06,2.961648437500000000e+03
1.787904000000000000e+06,2.965546875000000000e+03
1.789952000000000000e+06,2.977682373046875000e+03
1.792000000000000000e+06,2.990129638671875000e+03
1.794048000000000000e+06,2.988899658203125000e+03
1.796096000000000000e+06,2.988490478515625000e+03
1.798144000000000000e+06,2.993608886718750000e+03
1.800192000000000000e+06,2.989994873046875000e+03
1.802240000000000000e+06,2.990996093750000000e+03
1.804288000000000000e+06,2.990153320312500000e+03
1.806336000000000000e+06,2.987321289062500000e+03
1.808384000000000000e+06,2.978543945312500000e+03
1.810432000000000000e+06,2.980138183593750000e+03
1.812480000000000000e+06,2.986773925781250000e+03
1.814528000000000000e+06,2.987714843750000000e+03
1.816576000000000000e+06,2.983664062500000000e+03
1.818624000000000000e+06,2.985152832031250000e+03
1.820672000000000000e+06,2.987301757812500000e+03
1.822720000000000000e+06,2.991691162109375000e+03
1.824768000000000000e+06,3.008209472656250000e+03
1.826816000000000000e+06,3.009574462890625000e+03
1.828864000000000000e+06,2.999920898437500000e+03
1.830912000000000000e+06,3.002662841796875000e+03
1.832960000000000000e+06,3.005311035156250000e+03
1.835008000000000000e+06,3.012894775390625000e+03
1.837056000000000000e+06,3.004436523437500000e+03
1.839104000000000000e+06,3.000139404296875000e+03
1.841152000000000000e+06,3.004425781250000000e+03
1.843200000000000000e+06,3.012296386718750000e+03
1.845248000000000000e+06,3.012946777343750000e+03
1.847296000000000000e+06,3.016512207031250000e+03
1.849344000000000000e+06,3.016245117187500000e+03
1.851392000000000000e+06,3.023298828125000000e+03
1.853440000000000000e+06,3.023449462890625000e+03
1.855488000000000000e+06,3.037441162109375000e+03
1.857536000000000000e+06,3.044602539062500000e+03
1.859584000000000000e+06,3.033526855468750000e+03
1.861632000000000000e+06,3.042923095703125000e+03
1.863680000000000000e+06,3.043033203125000000e+03
1.865728000000000000e+06,3.036660888671875000e+03
1.867776000000000000e+06,3.034693115234375000e+03
1.869824000000000000e+06,3.037176757812500000e+03
1.871872000000000000e+06,3.042552001953125000e+03
1.873920000000000000e+06,3.031257324218750000e+03
1.875968000000000000e+06,3.030382324218750000e+03
1.878016000000000000e+06,3.029155761718750000e+03
1.880064000000000000e+06,3.023234130859375000e+03
1.882112000000000000e+06,3.026798583984375000e+03
1.884160000000000000e+06,3.033208007812500000e+03
1.886208000000000000e+06,3.045530761718750000e+03
1.888256000000000000e+06,3.045947265625000000e+03
1.890304000000000000e+06,3.051321777343750000e+03
1.892352000000000000e+06,3.057971191406250000e+03
1.894400000000000000e+06,3.060877197265625000e+03
1.896448000000000000e+06,3.063555908203125000e+03
1.898496000000000000e+06,3.079463378906250000e+03
1.900544000000000000e+06,3.080289062500000000e+03
1.902592000000000000e+06,3.085727783203125000e+03
1.904640000000000000e+06,3.089874511718750000e+03
1.906688000000000000e+06,3.097157714843750000e+03
1.908736000000000000e+06,3.093565429687500000e+03
1.910784000000000000e+06,3.093988769531250000e+03
1.912832000000000000e+06,3.096496582031250000e+03
1.914880000000000000e+06,3.098724609375000000e+03
1.916928000000000000e+06,3.101902099609375000e+03
1.918976000000000000e+06,3.109043457031250000e+03
1.921024000000000000e+06,3.104640136718750000e+03
1.923072000000000000e+06,3.099825927734375000e+03
1.925120000000000000e+06,3.100787841796875000e+03
1.927168000000000000e+06,3.104617675781250000e+03
1.929216000000000000e+06,3.103883300781250000e+03
1.931264000000000000e+06,3.099351562500000000e+03
1.933312000000000000e+06,3.105518066406250000e+03
1.935360000000000000e+06,3.112664062500000000e+03
1.937408000000000000e+06,3.125249511718750000e+03
1.939456000000000000e+06,3.142462402343750000e+03
1.941504000000000000e+06,3.154331787109375000e+03
1.943552000000000000e+06,3.164238769531250000e+03
1.945600000000000000e+06,3.166953613281250000e+03
1.947648000000000000e+06,3.159664794921875000e+03
1.949696000000000000e+06,3.169635986328125000e+03
1.951744000000000000e+06,3.169607666015625000e+03
1.953792000000000000e+06,3.164607666015625000e+03
1.955840000000000000e+06,3.173911621093750000e+03
1.957888000000000000e+06,3.166024414062500000e+03
1.959936000000000000e+06,3.173004150390625000e+03
1.961984000000000000e+06,3.173937744140625000e+03
1.964032000000000000e+06,3.183374267578125000e+03
1.966080000000000000e+06,3.180169921875000000e+03
1.968128000000000000e+06,3.177902099609375000e+03
1.970176000000000000e+06,3.185295654296875000e+03
1.972224000000000000e+06,3.185075439453125000e+03
1.974272000000000000e+06,3.182627197265625000e+03
1.976320000000000000e+06,3.183597656250000000e+03
1.978368000000000000e+06,3.184160400390625000e+03
1.980416000000000000e+06,3.181539306640625000e+03
1.982464000000000000e+06,3.173925781250000000e+03
1.984512000000000000e+06,3.172174316406250000e+03
1.986560000000000000e+06,3.168899658203125000e+03
1.988608000000000000e+06,3.169328369140625000e+03
1.990656000000000000e+06,3.168357421875000000e+03
1.992704000000000000e+06,3.168956298828125000e+03
1.994752000000000000e+06,3.169134277343750000e+03
1.996800000000000000e+06,3.167732177734375000e+03
1.998848000000000000e+06,3.168041748046875000e+03
2.000896000000000000e+06,3.163409423828125000e+03
2.002944000000000000e+06,3.161666992187500000e+03
2.004992000000000000e+06,3.158699707031250000e+03
2.007040000000000000e+06,3.162122802734375000e+03
2.009088000000000000e+06,3.162681152343750000e+03
2.011136000000000000e+06,3.162556640625000000e+03
2.013184000000000000e+06,3.166728027343750000e+03
2.015232000000000000e+06,3.163645751953125000e+03
2.017280000000000000e+06,3.162906005859375000e+03
2.019328000000000000e+06,3.156473388671875000e+03
2.021376000000000000e+06,3.148995605468750000e+03
2.023424000000000000e+06,3.153228515625000000e+03
2.025472000000000000e+06,3.148781005859375000e+03
2.027520000000000000e+06,3.154700195312500000e+03
2.029568000000000000e+06,3.155326660156250000e+03
2.031616000000000000e+06,3.146156005859375000e+03
2.033664000000000000e+06,3.147465332031250000e+03
2.035712000000000000e+06,3.149620117187500000e+03
2.037760000000000000e+06,3.148602783203125000e+03
2.039808000000000000e+06,3.154052734375000000e+03
2.041856000000000000e+06,3.155197998046875000e+03
2.043904000000000000e+06,3.152090820312500000e+03
2.045952000000000000e+06,3.159914794921875000e+03
2.048000000000000000e+06,3.146270263671875000e+03
2.050048000000000000e+06,3.151928222656250000e+03
2.052096000000000000e+06,3.146544433593750000e+03
2.054144000000000000e+06,3.149369628906250000e+03
2.056192000000000000e+06,3.152731933593750000e+03
2.058240000000000000e+06,3.156927978515625000e+03
2.060288000000000000e+06,3.157696044921875000e+03
2.062336000000000000e+06,3.164853271484375000e+03
2.064384000000000000e+06,3.168091064453125000e+03
2.066432000000000000e+06,3.163688720703125000e+03
2.068480000000000000e+06,3.160283691406250000e+03
2.070528000000000000e+06,3.154410156250000000e+03
2.072576000000000000e+06,3.142267089843750000e+03
2.074624000000000000e+06,3.136434814453125000e+03
2.076672000000000000e+06,3.135839843750000000e+03
2.078720000000000000e+06,3.140059570312500000e+03
2.080768000000000000e+06,3.145929687500000000e+03
2.082816000000000000e+06,3.146350341796875000e+03
2.084864000000000000e+06,3.153472167968750000e+03
2.086912000000000000e+06,3.157845947265625000e+03
2.088960000000000000e+06,3.159667480468750000e+03
2.091008000000000000e+06,3.161218994140625000e+03
2.093056000000000000e+06,3.157696777343750000e+03
2.095104000000000000e+06,3.151512207031250000e+03
2.097152000000000000e+06,3.142603027343750000e+03
2.099200000000000000e+06,3.146704101562500000e+03
2.101248000000000000e+06,3.143639160156250000e+03
2.103296000000000000e+06,3.140473144531250000e+03
2.105344000000000000e+06,3.152627441406250000e+03
2.107392000000000000e+06,3.151680664062500000e+03
2.109440000000000000e+06,3.156993408203125000e+03
2.111488000000000000e+06,3.163827148437500000e+03
2.113536000000000000e+06,3.158827880859375000e+03
2.115584000000000000e+06,3.172933349609375000e+03
2.117632000000000000e+06,3.174002441406250000e+03
2.119680000000000000e+06,3.182512695312500000e+03
2.121728000000000000e+06,3.177994140625000000e+03
2.123776000000000000e+06,3.169137695312500000e+03
2.125824000000000000e+06,3.172765380859375000e+03
2.127872000000000000e+06,3.176235351562500000e+03
2.129920000000000000e+06,3.178842773437500000e+03
2.131968000000000000e+06,3.188170654296875000e+03
2.134016000000000000e+06,3.205055664062500000e+03
2.136064000000000000e+06,3.213100341796875000e+03
2.138112000000000000e+06,3.220561035156250000e+03
2.140160000000000000e+06,3.229468505859375000e+03
2.142208000000000000e+06,3.241112060546875000e+03
2.144256000000000000e+06,3.242405517578125000e+03
2.146304000000000000e+06,3.252439941406250000e+03
2.148352000000000000e+06,3.259895507812500000e+03
2.150400000000000000e+06,3.261194091796875000e+03
2.152448000000000000e+06,3.262711181640625000e+03
2.154496000000000000e+06,3.270710449218750000e+03
2.156544000000000000e+06,3.270656250000000000e+03
2.158592000000000000e+06,3.272652587890625000e+03
